basis,n_mentions,files
1233013,16,"basis_census_mentions.csv, run_aeg_loo.log, run_minoan_split_clean.log"
1042205,5,"basis_census_mentions.csv, run_minoan_split_clean.log"
1038102,5,"basis_census_mentions.csv, run_minoan_split_clean.log"
955096,7,"basis_census_mentions.csv, run_minoan_split_clean.log, run_minoan_split_clean.txt"
950383,7,"basis_census_mentions.csv, run_minoan_split_clean.log, run_minoan_split_clean.txt"
738041,1,basis_census_mentions.csv
696349,5,"basis_census_mentions.csv, run_aeg_loo.log"
638680,3,"basis_census_mentions.csv, run_aeg_loo.log"
611041,5,"basis_census_mentions.csv, run_aeg_loo.log"
571419,5,"basis_census_mentions.csv, run_aeg_loo.log"
564922,5,"basis_census_mentions.csv, run_aeg_loo.log"
561372,3,"basis_census_mentions.csv, run_aeg_loo.log"
524089,3,"basis_census_mentions.csv, run_aeg_loo.log"
519296,3,"basis_census_mentions.csv, run_aeg_loo.log"
386166,5,"basis_census_mentions.csv, run_aeg_loo.log"
355549,3,"basis_census_mentions.csv, run_aeg_loo.log"
307851,5,"basis_census_mentions.csv, run_aeg_loo.log"
281089,3,"basis_census_mentions.csv, run_aeg_loo.log"
142250,8,"basis_census_mentions.csv, run_74_replication.log, run_aegean_vs_anatolian.log, run_pvalue_pathology.log, run_test3.log"
137384,57,"basis_census_mentions.csv, run_anchor_calibration.log, run_anchor_decisive.log, run_anchor_headtohead.log, run_anchor_robust.log, run_ba_cline.log, run_ba_kinprune.log, run_ba_natufian2.log, run_bronze_age_canonical.log, run_chisq_calibration.log, run_composition_decomp.log, run_f4_negative_control.log, run_rotating.log, run_test3_v2.log, run_uniform_3source.log"
125076,20,"basis_census_mentions.csv, run_ba_kinprune.log, run_bronze_age_canonical.log"
125064,5,"basis_census_mentions.csv, run_anchor_robust.log"
124944,5,"basis_census_mentions.csv, run_f4_negative_control.log"
124377,6,"basis_census_mentions.csv, run_eastern_term_v2.log"
124372,6,"basis_census_mentions.csv, run_eastern_term_v2.log"
124362,16,"basis_census_mentions.csv, run_chisq_calibration.log, run_eastern_term_v2_basis.txt, run_eastern_term_v2.log"
124252,3,"basis_census_mentions.csv, run_test3.log"
124198,3,"basis_census_mentions.csv, run_f4_negative_control.log"
123871,5,"basis_census_mentions.csv, run_74_replication.log"
123825,10,"basis_census_mentions.csv, run_aegean_vs_anatolian.log, run_pvalue_pathology.log"
123814,5,"basis_census_mentions.csv, run_test3.log"
123612,3,"basis_census_mentions.csv, run_ba_kinprune.log"
123602,6,"basis_census_mentions.csv, run_ba_kinprune.log, run_bronze_age_canonical.log"
123591,3,"basis_census_mentions.csv, run_ba_kinprune.log"
123510,15,"basis_census_mentions.csv, run_composition_decomp.log, run_rotating.log, run_uniform_3source.log"
123506,5,"basis_census_mentions.csv, run_anchor_calibration.log"
123499,5,"basis_census_mentions.csv, run_test3_v2.log"
123452,3,"basis_census_mentions.csv, run_anchor_robust.log"
123405,2,"basis_census_mentions.csv, run_anchor_integrity.log"
123047,3,"basis_census_mentions.csv, run_aegean_vs_anatolian.log"
123000,3,"basis_census_mentions.csv, run_74_replication.log"
122969,6,"basis_census_mentions.csv, run_test3.log"
122892,3,"basis_census_mentions.csv, run_rotating.log"
122891,11,"basis_census_mentions.csv, run_test3_controls_v3.log, run_test3_v2.log"
122862,6,"basis_census_mentions.csv, run_eastern_term_v2.log"
122804,6,"basis_census_mentions.csv, run_composition_decomp.log, run_uniform_3source.log"
122784,3,"basis_census_mentions.csv, run_pvalue_pathology.log"
122704,6,"basis_census_mentions.csv, run_anchor_integrity_basis.txt, run_anchor_integrity.log"
122702,6,"basis_census_mentions.csv, run_anchor_integrity_basis.txt, run_anchor_integrity.log"
122642,3,"basis_census_mentions.csv, run_anchor_calibration.log"
122365,2,"basis_census_mentions.csv, run_anchor_integrity.log"
121732,2,"basis_census_mentions.csv, run_anchor_integrity.log"
121107,8,"basis_census_mentions.csv, run_eastern_term_v2_basis.txt, run_eastern_term_v2_qpwave.txt, run_eastern_term_v2.log"
102565,2,"basis_census_mentions.csv, run_chisq_calibration.log"
102503,2,"basis_census_mentions.csv, run_chisq_calibration.log"
102484,2,"basis_census_mentions.csv, run_chisq_calibration.log"
102431,2,"basis_census_mentions.csv, run_chisq_calibration.log"
102398,2,"basis_census_mentions.csv, run_chisq_calibration.log"
102394,2,"basis_census_mentions.csv, run_chisq_calibration.log"
102385,2,"basis_census_mentions.csv, run_chisq_calibration.log"
102381,2,"basis_census_mentions.csv, run_chisq_calibration.log"
102346,2,"basis_census_mentions.csv, run_chisq_calibration.log"
102344,2,"basis_census_mentions.csv, run_chisq_calibration.log"
102327,2,"basis_census_mentions.csv, run_chisq_calibration.log"
102314,12,"basis_census_mentions.csv, run_eastern_term_v2_basis.txt, run_eastern_term_v2.log"
102305,2,"basis_census_mentions.csv, run_chisq_calibration.log"
102292,2,"basis_census_mentions.csv, run_chisq_calibration.log"
102289,2,"basis_census_mentions.csv, run_chisq_calibration.log"
102285,2,"basis_census_mentions.csv, run_chisq_calibration.log"
102272,2,"basis_census_mentions.csv, run_chisq_calibration.log"
102261,2,"basis_census_mentions.csv, run_chisq_calibration.log"
102216,2,"basis_census_mentions.csv, run_chisq_calibration.log"
102185,2,"basis_census_mentions.csv, run_chisq_calibration.log"
102062,2,"basis_census_mentions.csv, run_chisq_calibration.log"
101706,10,"basis_census_mentions.csv, run_eastern_term_v2_basis.txt, run_eastern_term_v2.log"
89799,5,"basis_census_mentions.csv, run_anchor_headtohead.log"
88880,3,"basis_census_mentions.csv, run_anchor_headtohead.log"
88776,2,"basis_census_mentions.csv, run_anchor_integrity.log"
88621,5,"basis_census_mentions.csv, run_ba_cline.log"
88619,5,"basis_census_mentions.csv, run_anchor_decisive.log"
87612,3,"basis_census_mentions.csv, run_ba_cline.log"
87524,3,"basis_census_mentions.csv, run_anchor_decisive.log"
44234,5,"basis_census_mentions.csv, run_ba_natufian2.log"
43788,3,"basis_census_mentions.csv, run_ba_natufian2.log"
38041,2,"basis_census_mentions.csv, run_eastern_term_v2.log"
36166,5,"basis_census_mentions.csv, run_ba_natufian2.log"
35732,3,"basis_census_mentions.csv, run_ba_natufian2.log"
33000,2,"basis_census_mentions.csv, run_minoan_split_clean.log"
25026,3,"basis_census_mentions.csv, run_ba_kinprune.log"
